MOF,Eads_CO2/eV,Eads_H2O/eV
IPIDUH,-1.98041987,0.31751977
KOQLUZ,-1.49635159,0.69712927
LEWZET,-0.8870675,0.80616646
cm503311x_alf175K,-0.63812715,0.47765209
TONWUO,-1.71263112,-0.62557754
EGIFUV,-1.44609121,-0.40792371
ZIDBEV,-1.91221869,-0.91204359
PETWIW,-0.71698749,0.2753331
XAZGAG_charged,-1.56170759,-0.58528762
GOSBOH,-1.21850209,-0.43421123
ODIXEG,-0.93516622,-0.23659889
KEHGIP,-1.48768923,-0.8169231
DEJRUH,-0.9813025,-0.38066254
TIDLID,-1.10334528,-0.51869665
NAYHAY,-1.61222512,-1.02882299
KEHGAH_charged,-1.10055831,-0.51940703
ZAGHAT,-1.59967388,-1.04951885
CUQXUI,-1.10064083,-0.56283407
HOMRIL,-0.96677131,-0.50726809
XANMUX04,-0.76936544,-0.32448979
UCOCUM_neutral,-0.65162324,-0.20722354
VAXMUF,-1.0019096,-0.57361177
DEBWAK,-0.72556114,-0.31883467
ADOCEC,-0.61746851,-0.28309274
cm503311x_alf425K,-0.55299683,-0.22584954
MALRUM,-0.91451782,-0.6095051
TIDLEZ,-0.84414531,-0.54063649
QOVSOL,-0.92554961,-0.62650711
cm503311x_alf400K,-0.67028052,-0.40488553
QEFNAQ,-0.57330367,-0.31982005
FECXES,-0.6374399,-0.38775154
DITYOW,-0.60490275,-0.35617532
QAWPIO,-0.66092523,-0.41298225
CAVSUP,-0.50514751,-0.25745156
FUVDEH04,-0.50813067,-0.27744081
cm503311x_aloh225K,-0.57135641,-0.34319687
DICKEH,-0.56333375,-0.34479502
NEDWEA,-0.59252993,-0.38861367
UTEWUM,-0.50474872,-0.31798956
IBUDOZ,-0.53293451,-0.3491664
XAMDUM07,-0.58613194,-0.40834288
XAFXOT,-0.50657541,-0.32972166
GIJXAA,-0.51302872,-0.34213299
cg901128k_si_004,-0.57634536,-0.40614162
FUVDEH05,-0.55591219,-0.38657591
cm503311x_alf350K,-0.66123953,-0.49294593
QOFDIA02,-0.68646499,-0.52020722
ZIHFUR,-0.50517411,-0.34342092
XENCAU,-0.58300537,-0.4266088
JOCWIJ,-0.87951643,-0.72538252
PIJJOI,-0.98103957,-0.82762568
QONKUB,-0.587986,-0.44060321
RUBTAK03_auto,-0.57584967,-0.4301035
XEDPON,-0.88871785,-0.74358816
IFEHUY,-0.6570662,-0.5153739
FEYJOJ,-0.98820005,-0.84690421
OSUWEF,-0.50571221,-0.3723662
YIWNEX,-0.97662312,-0.84563613
MIXBIG_auto,-0.6057186,-0.47577115
MOFKUO,-0.97836811,-0.8485377
FEWGUL,-0.52496516,-0.39636504
LAZJIH,-0.5022078,-0.37821144
CAVNOE,-0.53535219,-0.41318729
science.1056698_manual,-0.78711521,-0.66600015
EXALAR,-0.97726243,-0.85728342
IPIFAP,-1.16642512,-1.0514777
BOWNUY,-0.64442087,-0.53105029
cm503311x_aloh500K,-0.63468061,-0.52155714
XINWUO,-1.51251766,-1.40117955
XOVPUU,-0.78887532,-0.67762983
WIHWAN,-0.55605794,-0.44793714
NETYIV,-0.79594582,-0.68869811
FIZPOV,-0.75085345,-0.64717451
IXEJOM,-0.98136216,-0.88086998
FUVGAG02,-0.51369574,-0.41401225
NEJSOM,-0.56088818,-0.46255908
TAPLED,-0.93774402,-0.84078726
NEVVEQ,-0.54131066,-0.44478207
ECEZAO01,-0.95388331,-0.85755386
XUVHEB,-0.54007638,-0.44598116
VUWSAJ,-0.52045766,-0.42851494
jp302979a_si_002,-0.82397576,-0.73275096
IYEHAX,-0.51860865,-0.43190931
FAGQAI,-0.74752603,-0.66389789
WIKLOT,-0.9122945,-0.82918415
OPIYAP,-0.51770051,-0.43637928
SUSZOW,-0.52665179,-0.44859722
QUQFOY,-0.79641053,-0.71840245
PUGGOP,-0.70874288,-0.63312925
BAXFUD,-0.93270959,-0.86701528
POMSOB,-0.51857327,-0.4531151
LUDKOM,-1.23748942,-1.17250577
KIPZEQ,-0.50714189,-0.44522109
QODHUO07,-0.61154029,-0.55092539
WAHKUO,-0.75531609,-0.69733346
OLOPEM,-0.629258,-0.57181019
GUHNUU,-0.55377047,-0.49756749
ZILFOR_manual,-0.88673005,-0.83340342
BIMDIL,-0.54812064,-0.49810902
HUQHOS,-0.5125217,-0.46301289
UHASED,-0.7622416,-0.71361325
YINXIE,-0.57746906,-0.53167999
ESUSOC01,-0.51167492,-0.46624583
XEXMEU,-0.50461465,-0.45918912
RIPKIM,-0.5271108,-0.48297414
UFUNIS,-0.70814877,-0.6671108
TEMPEI,-0.75614336,-0.7152487
HUFJEZ,-0.73177421,-0.69175018
FUVFUZ,-0.50507505,-0.46614834
ANUGOG,-0.56944447,-0.53142157
YILJAG,-0.5266489,-0.49508425
SOBZEQ,-0.61530356,-0.58397982
QERZUI,-0.8547212,-0.82346883
QERZUI01,-0.68528564,-0.65466047
BEXQIF,-0.6598136,-0.62942236
LUFQUZ,-0.52165162,-0.49290048
FUNLAD,-0.51330037,-0.48743399
FUVDEH06,-0.73883447,-0.71446409
YUGLES,-0.51673341,-0.49262207
KIPKEB,-0.6050873,-0.58125445
PANYOU_charged,-0.59641352,-0.57392094
QODHUO03,-0.58657783,-0.564173
NUBBAP,-0.54980342,-0.52749699
cm501138g_si_002,-0.60453393,-0.5847488
NASREH,-0.50875272,-0.48912224
XITYOP,-0.69166024,-0.67538827
EVEGOB,-0.70430639,-0.69238144
WIRMOB,-0.50811108,-0.50046477
LOXWAY,-0.61494708,-0.60740741
KEDJAG16,-0.51426852,-0.50725202
ZAFXAI,-0.829211,-0.8236385
XALDAS,-0.56096785,-0.55576812
VEGMOK01_charged,-0.53127523,-0.52663304
ESUVAR01,-0.55859704,-0.55672686
EGEJIK_manual,-0.59021695,-0.58974443