,architecture,method-family,method,val,mae,inf. time
0,SchNet,atom-embeddings,tag-embed,id,0.637,15.39
1,SchNet,atom-embeddings,tag-embed,ad,0.69,15.39
2,SchNet,atom-embeddings,tag-embed,cat,0.629,15.39
3,SchNet,atom-embeddings,tag-embed,both,0.638,15.39
4,SchNet,atom-embeddings,phys-embed,id,0.644,15.482
5,SchNet,atom-embeddings,phys-embed,ad,0.7,15.482
6,SchNet,atom-embeddings,phys-embed,cat,0.639,15.482
7,SchNet,atom-embeddings,phys-embed,both,0.654,15.482
8,SchNet,atom-embeddings,l-phys-embed,id,0.65,15.59
9,SchNet,atom-embeddings,l-phys-embed,ad,0.733,15.59
10,SchNet,atom-embeddings,l-phys-embed,cat,0.649,15.59
11,SchNet,atom-embeddings,l-phys-embed,both,0.679,15.59
12,SchNet,atom-embeddings,pg,id,0.646,15.441
13,SchNet,atom-embeddings,pg,ad,0.725,15.441
14,SchNet,atom-embeddings,pg,cat,0.644,15.441
15,SchNet,atom-embeddings,pg,both,0.676,15.441
16,SchNet,atom-embeddings,All,id,0.665,15.469
17,SchNet,atom-embeddings,All,ad,0.69,15.469
18,SchNet,atom-embeddings,All,cat,0.651,15.469
19,SchNet,atom-embeddings,All,both,0.63,15.469
20,SchNet,graph-creation,remove-tag-0,id,0.627,4.749
21,SchNet,graph-creation,remove-tag-0,ad,0.705,4.749
22,SchNet,graph-creation,remove-tag-0,cat,0.627,4.749
23,SchNet,graph-creation,remove-tag-0,both,0.634,4.749
24,SchNet,graph-creation,sn-graph,id,0.633,5.545
25,SchNet,graph-creation,sn-graph,ad,0.705,5.545
26,SchNet,graph-creation,sn-graph,cat,0.633,5.545
27,SchNet,graph-creation,sn-graph,both,0.646,5.545
28,SchNet,graph-creation,sn-atom-type,id,0.628,6.386
29,SchNet,graph-creation,sn-atom-type,ad,0.738,6.386
30,SchNet,graph-creation,sn-atom-type,cat,0.626,6.386
31,SchNet,graph-creation,sn-atom-type,both,0.659,6.386
32,SchNet,energy-head,w-init,id,0.635,15.37
33,SchNet,energy-head,w-init,ad,0.715,15.37
34,SchNet,energy-head,w-init,cat,0.631,15.37
35,SchNet,energy-head,w-init,both,0.646,15.37
36,SchNet,energy-head,w-final,id,0.647,15.418
37,SchNet,energy-head,w-final,ad,0.713,15.418
38,SchNet,energy-head,w-final,cat,0.644,15.418
39,SchNet,energy-head,w-final,both,0.67,15.418
40,SchNet,energy-head,graclus,id,0.91,16.655
41,SchNet,energy-head,graclus,ad,0.994,16.655
42,SchNet,energy-head,graclus,cat,0.946,16.655
43,SchNet,energy-head,graclus,both,0.95,16.655
44,SchNet,energy-head,hoscpool,id,0.65,53.931
45,SchNet,energy-head,hoscpool,ad,0.719,53.931
46,SchNet,energy-head,hoscpool,cat,0.636,53.931
47,SchNet,energy-head,hoscpool,both,0.662,53.931
48,D++,atom-embeddings,tag-embed,id,0.551,110.042
49,D++,atom-embeddings,tag-embed,ad,0.659,110.042
50,D++,atom-embeddings,tag-embed,cat,0.545,110.042
51,D++,atom-embeddings,tag-embed,both,0.594,110.042
52,D++,atom-embeddings,phys-embed,id,0.561,110.082
53,D++,atom-embeddings,phys-embed,ad,0.671,110.082
54,D++,atom-embeddings,phys-embed,cat,0.555,110.082
55,D++,atom-embeddings,phys-embed,both,0.606,110.082
56,D++,atom-embeddings,l-phys-embed,id,0.566,110.121
57,D++,atom-embeddings,l-phys-embed,ad,0.7,110.121
58,D++,atom-embeddings,l-phys-embed,cat,0.557,110.121
59,D++,atom-embeddings,l-phys-embed,both,0.626,110.121
60,D++,atom-embeddings,pg,id,0.564,110.184
61,D++,atom-embeddings,pg,ad,0.71,110.184
62,D++,atom-embeddings,pg,cat,0.568,110.184
63,D++,atom-embeddings,pg,both,0.652,110.184
64,D++,atom-embeddings,All,id,0.55,110.034
65,D++,atom-embeddings,All,ad,0.691,110.034
66,D++,atom-embeddings,All,cat,0.54,110.034
67,D++,atom-embeddings,All,both,0.626,110.034
68,D++,graph-creation,remove-tag-0,id,0.576,20.152
69,D++,graph-creation,remove-tag-0,ad,0.684,20.152
70,D++,graph-creation,remove-tag-0,cat,0.568,20.152
71,D++,graph-creation,remove-tag-0,both,0.627,20.152
72,D++,graph-creation,sn-graph,id,,25.046
73,D++,graph-creation,sn-graph,ad,,25.046
74,D++,graph-creation,sn-graph,cat,,25.046
75,D++,graph-creation,sn-graph,both,,25.046
76,D++,graph-creation,sn-atom-type,id,,27.22
77,D++,graph-creation,sn-atom-type,ad,,27.22
78,D++,graph-creation,sn-atom-type,cat,,27.22
79,D++,graph-creation,sn-atom-type,both,,27.22
80,D++,energy-head,w-init,id,0.568,110.238
81,D++,energy-head,w-init,ad,0.686,110.238
82,D++,energy-head,w-init,cat,0.56,110.238
83,D++,energy-head,w-init,both,0.63,110.238
84,D++,energy-head,w-final,id,0.571,110.169
85,D++,energy-head,w-final,ad,0.66,110.169
86,D++,energy-head,w-final,cat,0.566,110.169
87,D++,energy-head,w-final,both,0.606,110.169
88,D++,energy-head,graclus,id,0.567,
89,D++,energy-head,graclus,ad,0.701,
90,D++,energy-head,graclus,cat,0.567,
91,D++,energy-head,graclus,both,0.648,
92,D++,energy-head,hoscpool,id,0.565,252.559
93,D++,energy-head,hoscpool,ad,0.703,252.559
94,D++,energy-head,hoscpool,cat,0.563,252.559
95,D++,energy-head,hoscpool,both,0.642,252.559
96,ForceNet,atom-embeddings,tag-embed,id,0.639,168.646
97,ForceNet,atom-embeddings,tag-embed,ad,0.69,168.646
98,ForceNet,atom-embeddings,tag-embed,cat,0.616,168.646
99,ForceNet,atom-embeddings,tag-embed,both,0.617,168.646
100,ForceNet,atom-embeddings,phys-embed,id,0.657,172.049
101,ForceNet,atom-embeddings,phys-embed,ad,0.702,172.049
102,ForceNet,atom-embeddings,phys-embed,cat,0.626,172.049
103,ForceNet,atom-embeddings,phys-embed,both,0.627,172.049
104,ForceNet,atom-embeddings,l-phys-embed,id,0.654,167.981
105,ForceNet,atom-embeddings,l-phys-embed,ad,0.734,167.981
106,ForceNet,atom-embeddings,l-phys-embed,cat,0.626,167.981
107,ForceNet,atom-embeddings,l-phys-embed,both,0.65,167.981
108,ForceNet,atom-embeddings,pg,id,0.644,170.701
109,ForceNet,atom-embeddings,pg,ad,0.669,170.701
110,ForceNet,atom-embeddings,pg,cat,0.618,170.701
111,ForceNet,atom-embeddings,pg,both,0.603,170.701
112,ForceNet,atom-embeddings,All,id,0.622,169.236
113,ForceNet,atom-embeddings,All,ad,0.68,169.236
114,ForceNet,atom-embeddings,All,cat,0.603,169.236
115,ForceNet,atom-embeddings,All,both,0.615,169.236
116,ForceNet,graph-creation,remove-tag-0,id,0.637,17.065
117,ForceNet,graph-creation,remove-tag-0,ad,0.668,17.065
118,ForceNet,graph-creation,remove-tag-0,cat,0.611,17.065
119,ForceNet,graph-creation,remove-tag-0,both,0.598,17.065
120,ForceNet,graph-creation,sn-graph,id,0.64,55.309
121,ForceNet,graph-creation,sn-graph,ad,0.676,55.309
122,ForceNet,graph-creation,sn-graph,cat,0.617,55.309
123,ForceNet,graph-creation,sn-graph,both,0.607,55.309
124,ForceNet,graph-creation,sn-atom-type,id,0.641,70.557
125,ForceNet,graph-creation,sn-atom-type,ad,0.672,70.557
126,ForceNet,graph-creation,sn-atom-type,cat,0.616,70.557
127,ForceNet,graph-creation,sn-atom-type,both,0.601,70.557
128,ForceNet,energy-head,w-init,id,0.639,170.719
129,ForceNet,energy-head,w-init,ad,0.687,170.719
130,ForceNet,energy-head,w-init,cat,0.611,170.719
131,ForceNet,energy-head,w-init,both,0.666,170.719
132,ForceNet,energy-head,w-final,id,0.655,170.72
133,ForceNet,energy-head,w-final,ad,0.716,170.72
134,ForceNet,energy-head,w-final,cat,0.627,170.72
135,ForceNet,energy-head,w-final,both,0.644,170.72
136,ForceNet,energy-head,graclus,id,0.622,172.494
137,ForceNet,energy-head,graclus,ad,0.722,172.494
138,ForceNet,energy-head,graclus,cat,0.634,172.494
139,ForceNet,energy-head,graclus,both,0.646,172.494
140,ForceNet,energy-head,hoscpool,id,0.621,202.034
141,ForceNet,energy-head,hoscpool,ad,0.703,202.034
142,ForceNet,energy-head,hoscpool,cat,0.638,202.034
143,ForceNet,energy-head,hoscpool,both,0.638,202.034
144,SchNet,baseline,baseline,id,0.637,15.04
145,SchNet,baseline,baseline,ad,0.734,15.04
146,SchNet,baseline,baseline,cat,0.661,15.04
147,SchNet,baseline,baseline,both,0.703,15.04
148,D++,baseline,baseline,id,0.571,110.11
149,D++,baseline,baseline,ad,0.722,110.11
150,D++,baseline,baseline,cat,0.561,110.11
151,D++,baseline,baseline,both,0.661,110.11
152,ForceNet,baseline,baseline,id,0.658,167.08
153,ForceNet,baseline,baseline,ad,0.701,167.08
154,ForceNet,baseline,baseline,cat,0.632,167.08
155,ForceNet,baseline,baseline,both,0.628,167.08
