,sample id,source,batch number,batch date,target composition,post processing id
0,uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0_rep1,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,pp0
1,uoft4_240405_Ag-0.2-Pd-0.8_pp0_rep1,uoft,4,240405,Ag-0.2-Pd-0.8,pp0
2,uoft4_240405_Ag-0.222-Cu-0.333-Pd-0.444_pp0_rep1,uoft,4,240405,Ag-0.222-Cu-0.333-Pd-0.444,pp0
3,uoft4_240405_Ag-0.25-Au-0.25-Pd-0.5_pp0_rep1,uoft,4,240405,Ag-0.25-Au-0.25-Pd-0.5,pp0
4,uoft4_240405_Ag-0.333-Pd-0.667_pp0_rep1,uoft,4,240405,Ag-0.333-Pd-0.667,pp0
5,uoft4_240405_Ag-0.4-Pd-0.6_pp0_rep1,uoft,4,240405,Ag-0.4-Pd-0.6,pp0
6,uoft4_240405_Ag-0.429-Pd-0.571_pp0_rep1,uoft,4,240405,Ag-0.429-Pd-0.571,pp0
7,uoft4_240405_Ag-0.444-Pd-0.556_pp0_rep1,uoft,4,240405,Ag-0.444-Pd-0.556,pp0
8,uoft4_240405_Ag-0.5-Au-0.5_pp0_rep1,uoft,4,240405,Ag-0.5-Au-0.5,pp0
9,uoft4_240405_Ag-0.5-Cu-0.25-Pd-0.25_pp0_rep1,uoft,4,240405,Ag-0.5-Cu-0.25-Pd-0.25,pp0
10,uoft4_240405_Ag-0.5-Pd-0.5_pp0_rep1,uoft,4,240405,Ag-0.5-Pd-0.5,pp0
11,uoft4_240405_Ag-0.556-Pd-0.444_pp0_rep1,uoft,4,240405,Ag-0.556-Pd-0.444,pp0
12,uoft4_240405_Ag-0.625-Pd-0.375_pp0_rep1,uoft,4,240405,Ag-0.625-Pd-0.375,pp0
13,uoft4_240405_Ag-0.667-Pd-0.333_pp0_rep1,uoft,4,240405,Ag-0.667-Pd-0.333,pp0
14,uoft4_240405_Ag-0.75-Pd-0.25_pp0_rep1,uoft,4,240405,Ag-0.75-Pd-0.25,pp0
15,uoft4_240405_Ag-0.833-Cu-0.167_pp0_rep1,uoft,4,240405,Ag-0.833-Cu-0.167,pp0
16,uoft4_240405_Ag-0.833-Pd-0.167_pp0_rep1,uoft,4,240405,Ag-0.833-Pd-0.167,pp0
17,uoft4_240405_Ag-0.889-Cu-0.111_pp0_rep1,uoft,4,240405,Ag-0.889-Cu-0.111,pp0
18,uoft4_240405_Ag-0.889-Hg-0.111_pp0_rep1,uoft,4,240405,Ag-0.889-Hg-0.111,pp0
19,uoft4_240405_Ag-1.0_pp0_rep1,uoft,4,240405,Ag-1.0,pp0
20,uoft4_240405_Au-0.2-Cu-0.8_pp0_rep1,uoft,4,240405,Au-0.2-Cu-0.8,pp0
21,uoft4_240405_Au-0.25-Cu-0.75_pp0_rep1,uoft,4,240405,Au-0.25-Cu-0.75,pp0
22,uoft4_240405_Au-0.333-Tl-0.667_pp0_rep1,uoft,4,240405,Au-0.333-Tl-0.667,pp0
23,uoft4_240405_Au-0.429-Cu-0.571_pp0_rep1,uoft,4,240405,Au-0.429-Cu-0.571,pp0
24,uoft4_240405_Au-0.5-Cu-0.5_pp0_rep1,uoft,4,240405,Au-0.5-Cu-0.5,pp0
25,uoft4_240405_Au-0.5-Pd-0.5_pp0_rep1,uoft,4,240405,Au-0.5-Pd-0.5,pp0
26,uoft4_240405_Au-0.556-Cu-0.444_pp0_rep1,uoft,4,240405,Au-0.556-Cu-0.444,pp0
27,uoft4_240405_Au-0.6-Cu-0.4_pp0_rep1,uoft,4,240405,Au-0.6-Cu-0.4,pp0
28,uoft4_240405_Au-0.75-Cu-0.25_pp0_rep1,uoft,4,240405,Au-0.75-Cu-0.25,pp0
29,uoft4_240405_Au-0.8-Cu-0.2_pp0_rep1,uoft,4,240405,Au-0.8-Cu-0.2,pp0
30,uoft4_240405_Cu-0.111-Pd-0.889_pp0_rep1,uoft,4,240405,Cu-0.111-Pd-0.889,pp0
31,uoft4_240405_Cu-0.125-Pd-0.875_pp0_rep1,uoft,4,240405,Cu-0.125-Pd-0.875,pp0
32,uoft4_240405_Cu-0.167-Pd-0.833_pp0_rep1,uoft,4,240405,Cu-0.167-Pd-0.833,pp0
33,uoft4_240405_Cu-0.25-Pd-0.75_pp0_rep1,uoft,4,240405,Cu-0.25-Pd-0.75,pp0
34,uoft4_240405_Cu-0.333-Pd-0.667_pp0_rep1,uoft,4,240405,Cu-0.333-Pd-0.667,pp0
35,uoft4_240405_Cu-0.375-Pd-0.625_pp0_rep1,uoft,4,240405,Cu-0.375-Pd-0.625,pp0
36,uoft4_240405_Cu-0.444-Pd-0.556_pp0_rep1,uoft,4,240405,Cu-0.444-Pd-0.556,pp0
37,uoft4_240405_Cu-0.5-Pd-0.5_pp0_rep1,uoft,4,240405,Cu-0.5-Pd-0.5,pp0
38,uoft4_240405_Cu-0.556-Pd-0.444_pp0_rep1,uoft,4,240405,Cu-0.556-Pd-0.444,pp0
39,uoft4_240405_Cu-0.75-Pd-0.25_pp0_rep1,uoft,4,240405,Cu-0.75-Pd-0.25,pp0
40,uoft4_240405_Cu-0.8-Pd-0.2_pp0_rep1,uoft,4,240405,Cu-0.8-Pd-0.2,pp0
41,uoft4_240405_Cu-1.0_pp0_rep1,uoft,4,240405,Cu-1.0,pp0
42,uoft4_240405_Hg-0.5-Pd-0.5_pp0_rep1,uoft,4,240405,Hg-0.5-Pd-0.5,pp0
43,uoft4_240405_Pd-0.333-Tl-0.667_pp0_rep1,uoft,4,240405,Pd-0.333-Tl-0.667,pp0
44,uoft4_240405_Pd-0.591-Tl-0.409_pp0_rep1,uoft,4,240405,Pd-0.591-Tl-0.409,pp0
45,uoft4_240405_Pd-0.75-Tl-0.25_pp0_rep1,uoft,4,240405,Pd-0.75-Tl-0.25,pp0
46,uoft4_240405_Pd-1.0_pp0_rep1,uoft,4,240405,Pd-1.0,pp0
47,uoft4_240405_Rh-1.0_pp0_rep1,uoft,4,240405,Rh-1.0,pp0
48,uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0_rep2,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,pp0
49,uoft4_240405_Ag-0.2-Pd-0.8_pp0_rep2,uoft,4,240405,Ag-0.2-Pd-0.8,pp0
50,uoft4_240405_Ag-0.222-Cu-0.333-Pd-0.444_pp0_rep2,uoft,4,240405,Ag-0.222-Cu-0.333-Pd-0.444,pp0
51,uoft4_240405_Ag-0.25-Au-0.25-Pd-0.5_pp0_rep2,uoft,4,240405,Ag-0.25-Au-0.25-Pd-0.5,pp0
52,uoft4_240405_Ag-0.333-Pd-0.667_pp0_rep2,uoft,4,240405,Ag-0.333-Pd-0.667,pp0
53,uoft4_240405_Ag-0.4-Pd-0.6_pp0_rep2,uoft,4,240405,Ag-0.4-Pd-0.6,pp0
54,uoft4_240405_Ag-0.429-Pd-0.571_pp0_rep2,uoft,4,240405,Ag-0.429-Pd-0.571,pp0
55,uoft4_240405_Ag-0.444-Pd-0.556_pp0_rep2,uoft,4,240405,Ag-0.444-Pd-0.556,pp0
56,uoft4_240405_Ag-0.5-Au-0.5_pp0_rep2,uoft,4,240405,Ag-0.5-Au-0.5,pp0
57,uoft4_240405_Ag-0.5-Cu-0.25-Pd-0.25_pp0_rep2,uoft,4,240405,Ag-0.5-Cu-0.25-Pd-0.25,pp0
58,uoft4_240405_Ag-0.5-Pd-0.5_pp0_rep2,uoft,4,240405,Ag-0.5-Pd-0.5,pp0
59,uoft4_240405_Ag-0.556-Pd-0.444_pp0_rep2,uoft,4,240405,Ag-0.556-Pd-0.444,pp0
60,uoft4_240405_Ag-0.625-Pd-0.375_pp0_rep2,uoft,4,240405,Ag-0.625-Pd-0.375,pp0
61,uoft4_240405_Ag-0.667-Pd-0.333_pp0_rep2,uoft,4,240405,Ag-0.667-Pd-0.333,pp0
62,uoft4_240405_Ag-0.75-Pd-0.25_pp0_rep2,uoft,4,240405,Ag-0.75-Pd-0.25,pp0
63,uoft4_240405_Ag-0.833-Cu-0.167_pp0_rep2,uoft,4,240405,Ag-0.833-Cu-0.167,pp0
64,uoft4_240405_Ag-0.833-Pd-0.167_pp0_rep2,uoft,4,240405,Ag-0.833-Pd-0.167,pp0
65,uoft4_240405_Ag-0.889-Cu-0.111_pp0_rep2,uoft,4,240405,Ag-0.889-Cu-0.111,pp0
66,uoft4_240405_Ag-0.889-Hg-0.111_pp0_rep2,uoft,4,240405,Ag-0.889-Hg-0.111,pp0
67,uoft4_240405_Ag-1.0_pp0_rep2,uoft,4,240405,Ag-1.0,pp0
68,uoft4_240405_Au-0.2-Cu-0.8_pp0_rep2,uoft,4,240405,Au-0.2-Cu-0.8,pp0
69,uoft4_240405_Au-0.25-Cu-0.75_pp0_rep2,uoft,4,240405,Au-0.25-Cu-0.75,pp0
70,uoft4_240405_Au-0.333-Tl-0.667_pp0_rep2,uoft,4,240405,Au-0.333-Tl-0.667,pp0
71,uoft4_240405_Au-0.429-Cu-0.571_pp0_rep2,uoft,4,240405,Au-0.429-Cu-0.571,pp0
72,uoft4_240405_Au-0.5-Cu-0.5_pp0_rep2,uoft,4,240405,Au-0.5-Cu-0.5,pp0
73,uoft4_240405_Au-0.5-Pd-0.5_pp0_rep2,uoft,4,240405,Au-0.5-Pd-0.5,pp0
74,uoft4_240405_Au-0.556-Cu-0.444_pp0_rep2,uoft,4,240405,Au-0.556-Cu-0.444,pp0
75,uoft4_240405_Au-0.6-Cu-0.4_pp0_rep2,uoft,4,240405,Au-0.6-Cu-0.4,pp0
76,uoft4_240405_Au-0.75-Cu-0.25_pp0_rep2,uoft,4,240405,Au-0.75-Cu-0.25,pp0
77,uoft4_240405_Au-0.8-Cu-0.2_pp0_rep2,uoft,4,240405,Au-0.8-Cu-0.2,pp0
78,uoft4_240405_Cu-0.111-Pd-0.889_pp0_rep2,uoft,4,240405,Cu-0.111-Pd-0.889,pp0
79,uoft4_240405_Cu-0.125-Pd-0.875_pp0_rep2,uoft,4,240405,Cu-0.125-Pd-0.875,pp0
80,uoft4_240405_Cu-0.167-Pd-0.833_pp0_rep2,uoft,4,240405,Cu-0.167-Pd-0.833,pp0
81,uoft4_240405_Cu-0.25-Pd-0.75_pp0_rep2,uoft,4,240405,Cu-0.25-Pd-0.75,pp0
82,uoft4_240405_Cu-0.333-Pd-0.667_pp0_rep2,uoft,4,240405,Cu-0.333-Pd-0.667,pp0
83,uoft4_240405_Cu-0.375-Pd-0.625_pp0_rep2,uoft,4,240405,Cu-0.375-Pd-0.625,pp0
84,uoft4_240405_Cu-0.444-Pd-0.556_pp0_rep2,uoft,4,240405,Cu-0.444-Pd-0.556,pp0
85,uoft4_240405_Cu-0.5-Pd-0.5_pp0_rep2,uoft,4,240405,Cu-0.5-Pd-0.5,pp0
86,uoft4_240405_Cu-0.556-Pd-0.444_pp0_rep2,uoft,4,240405,Cu-0.556-Pd-0.444,pp0
87,uoft4_240405_Cu-0.75-Pd-0.25_pp0_rep2,uoft,4,240405,Cu-0.75-Pd-0.25,pp0
88,uoft4_240405_Cu-0.8-Pd-0.2_pp0_rep2,uoft,4,240405,Cu-0.8-Pd-0.2,pp0
89,uoft4_240405_Cu-1.0_pp0_rep2,uoft,4,240405,Cu-1.0,pp0
90,uoft4_240405_Hg-0.5-Pd-0.5_pp0_rep2,uoft,4,240405,Hg-0.5-Pd-0.5,pp0
91,uoft4_240405_Pd-0.333-Tl-0.667_pp0_rep2,uoft,4,240405,Pd-0.333-Tl-0.667,pp0
92,uoft4_240405_Pd-0.591-Tl-0.409_pp0_rep2,uoft,4,240405,Pd-0.591-Tl-0.409,pp0
93,uoft4_240405_Pd-0.75-Tl-0.25_pp0_rep2,uoft,4,240405,Pd-0.75-Tl-0.25,pp0
94,uoft4_240405_Pd-1.0_pp0_rep2,uoft,4,240405,Pd-1.0,pp0
95,uoft4_240405_Rh-1.0_pp0_rep2,uoft,4,240405,Rh-1.0,pp0
96,uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0_rep3,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,pp0
97,uoft4_240405_Ag-0.2-Pd-0.8_pp0_rep3,uoft,4,240405,Ag-0.2-Pd-0.8,pp0
98,uoft4_240405_Ag-0.222-Cu-0.333-Pd-0.444_pp0_rep3,uoft,4,240405,Ag-0.222-Cu-0.333-Pd-0.444,pp0
99,uoft4_240405_Ag-0.25-Au-0.25-Pd-0.5_pp0_rep3,uoft,4,240405,Ag-0.25-Au-0.25-Pd-0.5,pp0
100,uoft4_240405_Ag-0.333-Pd-0.667_pp0_rep3,uoft,4,240405,Ag-0.333-Pd-0.667,pp0
101,uoft4_240405_Ag-0.4-Pd-0.6_pp0_rep3,uoft,4,240405,Ag-0.4-Pd-0.6,pp0
102,uoft4_240405_Ag-0.429-Pd-0.571_pp0_rep3,uoft,4,240405,Ag-0.429-Pd-0.571,pp0
103,uoft4_240405_Ag-0.444-Pd-0.556_pp0_rep3,uoft,4,240405,Ag-0.444-Pd-0.556,pp0
104,uoft4_240405_Ag-0.5-Au-0.5_pp0_rep3,uoft,4,240405,Ag-0.5-Au-0.5,pp0
105,uoft4_240405_Ag-0.5-Cu-0.25-Pd-0.25_pp0_rep3,uoft,4,240405,Ag-0.5-Cu-0.25-Pd-0.25,pp0
106,uoft4_240405_Ag-0.5-Pd-0.5_pp0_rep3,uoft,4,240405,Ag-0.5-Pd-0.5,pp0
107,uoft4_240405_Ag-0.556-Pd-0.444_pp0_rep3,uoft,4,240405,Ag-0.556-Pd-0.444,pp0
108,uoft4_240405_Ag-0.625-Pd-0.375_pp0_rep3,uoft,4,240405,Ag-0.625-Pd-0.375,pp0
109,uoft4_240405_Ag-0.667-Pd-0.333_pp0_rep3,uoft,4,240405,Ag-0.667-Pd-0.333,pp0
110,uoft4_240405_Ag-0.75-Pd-0.25_pp0_rep3,uoft,4,240405,Ag-0.75-Pd-0.25,pp0
111,uoft4_240405_Ag-0.833-Cu-0.167_pp0_rep3,uoft,4,240405,Ag-0.833-Cu-0.167,pp0
112,uoft4_240405_Ag-0.833-Pd-0.167_pp0_rep3,uoft,4,240405,Ag-0.833-Pd-0.167,pp0
113,uoft4_240405_Ag-0.889-Cu-0.111_pp0_rep3,uoft,4,240405,Ag-0.889-Cu-0.111,pp0
114,uoft4_240405_Ag-0.889-Hg-0.111_pp0_rep3,uoft,4,240405,Ag-0.889-Hg-0.111,pp0
115,uoft4_240405_Ag-1.0_pp0_rep3,uoft,4,240405,Ag-1.0,pp0
116,uoft4_240405_Au-0.2-Cu-0.8_pp0_rep3,uoft,4,240405,Au-0.2-Cu-0.8,pp0
117,uoft4_240405_Au-0.25-Cu-0.75_pp0_rep3,uoft,4,240405,Au-0.25-Cu-0.75,pp0
118,uoft4_240405_Au-0.333-Tl-0.667_pp0_rep3,uoft,4,240405,Au-0.333-Tl-0.667,pp0
119,uoft4_240405_Au-0.429-Cu-0.571_pp0_rep3,uoft,4,240405,Au-0.429-Cu-0.571,pp0
120,uoft4_240405_Au-0.5-Cu-0.5_pp0_rep3,uoft,4,240405,Au-0.5-Cu-0.5,pp0
121,uoft4_240405_Au-0.5-Pd-0.5_pp0_rep3,uoft,4,240405,Au-0.5-Pd-0.5,pp0
122,uoft4_240405_Au-0.556-Cu-0.444_pp0_rep3,uoft,4,240405,Au-0.556-Cu-0.444,pp0
123,uoft4_240405_Au-0.6-Cu-0.4_pp0_rep3,uoft,4,240405,Au-0.6-Cu-0.4,pp0
124,uoft4_240405_Au-0.75-Cu-0.25_pp0_rep3,uoft,4,240405,Au-0.75-Cu-0.25,pp0
125,uoft4_240405_Au-0.8-Cu-0.2_pp0_rep3,uoft,4,240405,Au-0.8-Cu-0.2,pp0
126,uoft4_240405_Cu-0.111-Pd-0.889_pp0_rep3,uoft,4,240405,Cu-0.111-Pd-0.889,pp0
127,uoft4_240405_Cu-0.125-Pd-0.875_pp0_rep3,uoft,4,240405,Cu-0.125-Pd-0.875,pp0
128,uoft4_240405_Cu-0.167-Pd-0.833_pp0_rep3,uoft,4,240405,Cu-0.167-Pd-0.833,pp0
129,uoft4_240405_Cu-0.25-Pd-0.75_pp0_rep3,uoft,4,240405,Cu-0.25-Pd-0.75,pp0
130,uoft4_240405_Cu-0.333-Pd-0.667_pp0_rep3,uoft,4,240405,Cu-0.333-Pd-0.667,pp0
131,uoft4_240405_Cu-0.375-Pd-0.625_pp0_rep3,uoft,4,240405,Cu-0.375-Pd-0.625,pp0
132,uoft4_240405_Cu-0.444-Pd-0.556_pp0_rep3,uoft,4,240405,Cu-0.444-Pd-0.556,pp0
133,uoft4_240405_Cu-0.5-Pd-0.5_pp0_rep3,uoft,4,240405,Cu-0.5-Pd-0.5,pp0
134,uoft4_240405_Cu-0.556-Pd-0.444_pp0_rep3,uoft,4,240405,Cu-0.556-Pd-0.444,pp0
135,uoft4_240405_Cu-0.75-Pd-0.25_pp0_rep3,uoft,4,240405,Cu-0.75-Pd-0.25,pp0
136,uoft4_240405_Cu-0.8-Pd-0.2_pp0_rep3,uoft,4,240405,Cu-0.8-Pd-0.2,pp0
137,uoft4_240405_Cu-1.0_pp0_rep3,uoft,4,240405,Cu-1.0,pp0
138,uoft4_240405_Hg-0.5-Pd-0.5_pp0_rep3,uoft,4,240405,Hg-0.5-Pd-0.5,pp0
139,uoft4_240405_Pd-0.333-Tl-0.667_pp0_rep3,uoft,4,240405,Pd-0.333-Tl-0.667,pp0
140,uoft4_240405_Pd-0.591-Tl-0.409_pp0_rep3,uoft,4,240405,Pd-0.591-Tl-0.409,pp0
141,uoft4_240405_Pd-0.75-Tl-0.25_pp0_rep3,uoft,4,240405,Pd-0.75-Tl-0.25,pp0
142,uoft4_240405_Pd-1.0_pp0_rep3,uoft,4,240405,Pd-1.0,pp0
143,uoft4_240405_Rh-1.0_pp0_rep3,uoft,4,240405,Rh-1.0,pp0
144,uoft5_240507_Au-0.5-Cu-0.4-Hg-0.1_pp0_rep1,uoft,5,240507,Au-0.5-Cu-0.4-Hg-0.1,pp0
145,uoft5_240507_Ag-0.4-Au-0.4-Tl-0.2_pp0_rep1,uoft,5,240507,Ag-0.4-Au-0.4-Tl-0.2,pp0
146,uoft5_240507_Au-0.125-Pd-0.625-Tl-0.25_pp0_rep1,uoft,5,240507,Au-0.125-Pd-0.625-Tl-0.25,pp0
147,uoft5_240507_Au-0.5-Cd-0.25-Tl-0.25_pp0_rep1,uoft,5,240507,Au-0.5-Cd-0.25-Tl-0.25,pp0
148,uoft5_240507_Au-0.444-Cd-0.556_pp0_rep1,uoft,5,240507,Au-0.444-Cd-0.556,pp0
149,uoft5_240507_Au-0.75-Cd-0.125-Ga-0.125_pp0_rep1,uoft,5,240507,Au-0.75-Cd-0.125-Ga-0.125,pp0
150,uoft5_240507_Cd-0.5-Ga-0.25-In-0.25_pp0_rep1,uoft,5,240507,Cd-0.5-Ga-0.25-In-0.25,pp0
151,uoft5_240507_Cd-0.111-In-0.889_pp0_rep1,uoft,5,240507,Cd-0.111-In-0.889,pp0
152,uoft5_240507_Au-0.5-Cu-0.4-Hg-0.1_pp0_rep2,uoft,5,240507,Au-0.5-Cu-0.4-Hg-0.1,pp0
153,uoft5_240507_Ag-0.4-Au-0.4-Tl-0.2_pp0_rep2,uoft,5,240507,Ag-0.4-Au-0.4-Tl-0.2,pp0
154,uoft5_240507_Au-0.125-Pd-0.625-Tl-0.25_pp0_rep2,uoft,5,240507,Au-0.125-Pd-0.625-Tl-0.25,pp0
155,uoft5_240507_Au-0.5-Cd-0.25-Tl-0.25_pp0_rep2,uoft,5,240507,Au-0.5-Cd-0.25-Tl-0.25,pp0
156,uoft5_240507_Au-0.444-Cd-0.556_pp0_rep2,uoft,5,240507,Au-0.444-Cd-0.556,pp0
157,uoft5_240507_Au-0.75-Cd-0.125-Ga-0.125_pp0_rep2,uoft,5,240507,Au-0.75-Cd-0.125-Ga-0.125,pp0
158,uoft5_240507_Cd-0.5-Ga-0.25-In-0.25_pp0_rep2,uoft,5,240507,Cd-0.5-Ga-0.25-In-0.25,pp0
159,uoft5_240507_Cd-0.111-In-0.889_pp0_rep2,uoft,5,240507,Cd-0.111-In-0.889,pp0
160,uoft5_240507_Au-0.5-Cu-0.4-Hg-0.1_pp0_rep3,uoft,5,240507,Au-0.5-Cu-0.4-Hg-0.1,pp0
161,uoft5_240507_Ag-0.4-Au-0.4-Tl-0.2_pp0_rep3,uoft,5,240507,Ag-0.4-Au-0.4-Tl-0.2,pp0
162,uoft5_240507_Au-0.125-Pd-0.625-Tl-0.25_pp0_rep3,uoft,5,240507,Au-0.125-Pd-0.625-Tl-0.25,pp0
163,uoft5_240507_Au-0.5-Cd-0.25-Tl-0.25_pp0_rep3,uoft,5,240507,Au-0.5-Cd-0.25-Tl-0.25,pp0
164,uoft5_240507_Au-0.444-Cd-0.556_pp0_rep3,uoft,5,240507,Au-0.444-Cd-0.556,pp0
165,uoft5_240507_Au-0.75-Cd-0.125-Ga-0.125_pp0_rep3,uoft,5,240507,Au-0.75-Cd-0.125-Ga-0.125,pp0
166,uoft5_240507_Cd-0.5-Ga-0.25-In-0.25_pp0_rep3,uoft,5,240507,Cd-0.5-Ga-0.25-In-0.25,pp0
167,uoft5_240507_Cd-0.111-In-0.889_pp0_rep3,uoft,5,240507,Cd-0.111-In-0.889,pp0
168,uoft6_240624_Au-0.5-Cd-0.25-Tl-0.25_pp0_rep1,uoft,6,240624,Au-0.5-Cd-0.25-Tl-0.25,pp0
169,uoft6_240624_Au-0.444-Cd-0.556_pp0_rep1,uoft,6,240624,Au-0.444-Cd-0.556,pp0
170,uoft6_240624_Ag-0.714-Cd-0.286_pp0_rep1,uoft,6,240624,Ag-0.714-Cd-0.286,pp0
171,uoft6_240624_Ag-0.385-Cd-0.615_pp0_rep1,uoft,6,240624,Ag-0.385-Cd-0.615,pp0
172,uoft6_240624_Ag-0.571-Cd-0.429_pp0_rep1,uoft,6,240624,Ag-0.571-Cd-0.429,pp0
173,uoft6_240624_Au-0.833-Cd-0.167_pp0_rep1,uoft,6,240624,Au-0.833-Cd-0.167,pp0
174,uoft6_240624_Ag-0.417-Cd-0.583_pp0_rep1,uoft,6,240624,Ag-0.417-Cd-0.583,pp0
175,uoft6_240624_Au-0.167-Cd-0.833_pp0_rep1,uoft,6,240624,Au-0.167-Cd-0.833,pp0
176,uoft6_240624_Ag-0.455-Cd-0.545_pp0_rep1,uoft,6,240624,Ag-0.455-Cd-0.545,pp0
177,uoft6_240624_Au-0.7-Cd-0.3_pp0_rep1,uoft,6,240624,Au-0.7-Cd-0.3,pp0
178,uoft6_240624_Au-0.889-Cd-0.111_pp0_rep1,uoft,6,240624,Au-0.889-Cd-0.111,pp0
179,uoft6_240624_Au-0.8-Cd-0.2_pp0_rep1,uoft,6,240624,Au-0.8-Cd-0.2,pp0
180,uoft6_240624_Au-0.125-Cd-0.875_pp0_rep1,uoft,6,240624,Au-0.125-Cd-0.875,pp0
181,uoft6_240624_Cd-0.333-Sn-0.667_pp0_rep1,uoft,6,240624,Cd-0.333-Sn-0.667,pp0
182,uoft6_240624_Cd-0.125-Tl-0.875_pp0_rep1,uoft,6,240624,Cd-0.125-Tl-0.875,pp0
183,uoft6_240624_Ag-0.444-Au-0.444-Cd-0.111_pp0_rep1,uoft,6,240624,Ag-0.444-Au-0.444-Cd-0.111,pp0
184,uoft6_240624_Au-0.833-Cd-0.167_pp0_rep2,uoft,6,240624,Au-0.833-Cd-0.167,pp0
185,uoft6_240624_Au-0.333-Cd-0.333-Pd-0.333_pp0_rep1,uoft,6,240624,Au-0.333-Cd-0.333-Pd-0.333,pp0
186,uoft6_240624_Ag-0.417-Au-0.417-Cd-0.167_pp0_rep1,uoft,6,240624,Ag-0.417-Au-0.417-Cd-0.167,pp0
187,uoft6_240624_Cd-0.5-Cu-0.5_pp0_rep1,uoft,6,240624,Cd-0.5-Cu-0.5,pp0
188,uoft6_240624_Au-0.167-Cd-0.833_pp0_rep2,uoft,6,240624,Au-0.167-Cd-0.833,pp0
189,uoft6_240624_Ag-0.4-Au-0.2-Cd-0.4_pp0_rep1,uoft,6,240624,Ag-0.4-Au-0.2-Cd-0.4,pp0
190,uoft6_240624_Cd-0.833-Tl-0.167_pp0_rep1,uoft,6,240624,Cd-0.833-Tl-0.167,pp0
191,uoft6_240624_Au-0.7-Cd-0.3_pp0_rep2,uoft,6,240624,Au-0.7-Cd-0.3,pp0
192,uoft6_240624_Ag-0.222-Au-0.333-Cd-0.444_pp0_rep1,uoft,6,240624,Ag-0.222-Au-0.333-Cd-0.444,pp0
193,uoft6_240624_Cd-0.667-Tl-0.333_pp0_rep1,uoft,6,240624,Cd-0.667-Tl-0.333,pp0
194,uoft6_240624_Ag-0.125-Au-0.125-Cd-0.75_pp0_rep1,uoft,6,240624,Ag-0.125-Au-0.125-Cd-0.75,pp0
195,uoft6_240624_Au-0.25-Cd-0.25-Tl-0.5_pp0_rep1,uoft,6,240624,Au-0.25-Cd-0.25-Tl-0.5,pp0
196,uoft6_240624_Cd-1.0_pp0_rep1,uoft,6,240624,Cd-1.0,pp0
197,uoft6_240624_Ag-0.5-Au-0.25-Cd-0.25_pp0_rep1,uoft,6,240624,Ag-0.5-Au-0.25-Cd-0.25,pp0
198,uoft6_240624_Au-0.5-Cd-0.25-Tl-0.25_pp0_rep2,uoft,6,240624,Au-0.5-Cd-0.25-Tl-0.25,pp0
199,uoft6_240624_Au-0.444-Cd-0.556_pp0_rep2,uoft,6,240624,Au-0.444-Cd-0.556,pp0
