sample id,source,batch number,batch date,rod1,rod2,rod3,rod1 diameter (mm),rod2 diameter (mm),rod3 diameter (mm),voltage1 (kV),current1 (mA),voltage2 (kV),curren2 (mA),voltage3 (kV),current3 (mA),speed (um/s),wafer spot,,
vsp1_240503_Ag-1.0_pp0_rep1,vsp,1,240503,Ag,Au,,3,2,,1.30,10.00,,,,,270,1,,
vsp1_240503_Ag-0.111-Au-0.889_pp0_rep1,vsp,1,240503,Ag,Au,,3,2,,1.30,4.62,1.30,10.00,,,1980,2,,
vsp1_240503_Ag-0.167-Au-0.833_pp0_rep1,vsp,1,240503,Ag,Au,,3,2,,1.30,7.41,1.30,10.00,,,2060,3,,
vsp1_240503_Ag-0.188-Au-0.812_pp0_rep1,vsp,1,240503,Ag,Au,,3,2,,1.30,8.56,1.30,10.00,,,2090,4,,
vsp1_240503_Ag-0.222-Au-0.778_pp0_rep1,vsp,1,240503,Ag,Au,,3,2,,1.30,10.00,1.30,9.48,,,2030,5,,
vsp1_240503_Ag-0.25-Au-0.75_pp0_rep1,vsp,1,240503,Ag,Au,,3,2,,1.30,10.00,1.30,8.11,,,1780,6,,
vsp1_240503_Ag-0.286-Au-0.714_pp0_rep1,vsp,1,240503,Ag,Au,,3,2,,1.30,10.00,1.30,6.75,,,1530,7,,
vsp1_240503_Ag-0.2-Au-0.8_pp0_rep1,vsp,1,240503,Ag,Au,,3,2,,1.30,9.24,1.30,10.00,,,2110,8,,
vsp1_240503_Ag-0.333-Au-0.667_pp0_rep1,vsp,1,240503,Ag,Au,,3,2,,1.30,10.00,1.30,5.42,,,1280,9,,
vsp1_240503_Ag-0.375-Au-0.625_pp0_rep1,vsp,1,240503,Ag,Au,,3,2,,1.30,10.00,1.30,4.51,,,1110,10,,
vsp1_240503_Ag-0.417-Au-0.583_pp0_rep1,vsp,1,240503,Ag,Au,,3,2,,1.30,10.00,1.30,3.78,,,980,11,,
vsp1_240503_Ag-0.429-Au-0.571_pp0_rep1,vsp,1,240503,Ag,Au,,3,2,,1.30,10.00,1.30,3.60,,,940,12,,
vsp1_240503_Ag-0.444-Au-0.556_pp0_rep1,vsp,1,240503,Ag,Au,,3,2,,1.30,10.00,1.30,3.39,,,900,13,,
vsp1_240503_Ag-0.4-Au-0.6_pp0_rep1,vsp,1,240503,Ag,Au,,3,2,,1.30,10.00,1.30,4.06,,,1030,14,,
vsp1_240503_Ag-0.556-Au-0.444_pp0_rep1,vsp,1,240503,Ag,Au,,3,2,,1.30,10.00,1.30,2.16,,,680,15,,
vsp1_240503_Ag-0.583-Au-0.417_pp0_rep1,vsp,1,240503,Ag,Au,,3,2,,1.30,10.00,1.30,1.93,,,630,16,,
vsp1_240503_Ag-0.5-Au-0.5_pp0_rep1,vsp,1,240503,Ag,Au,,3,2,,1.30,10.00,1.30,2.70,,,780,17,,
vsp1_240503_Ag-0.615-Au-0.385_pp0_rep1,vsp,1,240503,Ag,Au,,3,2,,1.30,10.00,1.30,1.69,,,590,18,,
vsp1_240503_Ag-0.625-Au-0.375_pp0_rep1,vsp,1,240503,Ag,Au,,3,2,,1.30,10.00,1.30,1.62,,,580,19,,
vsp1_240503_Ag-0.667-Au-0.333_pp0_rep1,vsp,1,240503,Ag,Au,,3,2,,1.30,10.00,1.30,1.35,,,530,20,,
vsp1_240503_Ag-0.6-Au-0.4_pp0_rep1,vsp,1,240503,Ag,Au,,3,2,,1.30,10.00,1.30,1.80,,,610,21,,
vsp1_240503_Ag-0.714-Au-0.286_pp0_rep1,vsp,1,240503,Ag,Au,,3,2,,1.30,10.00,1.30,1.08,,,480,22,,
vsp1_240503_Ag-0.75-Au-0.25_pp0_rep1,vsp,1,240503,Ag,Au,,3,2,,1.30,10.00,1.30,0.90,,,440,23,,
vsp1_240503_Ag-0.778-Au-0.222_pp0_rep1,vsp,1,240503,Ag,Au,,3,2,,1.30,10.00,1.30,0.77,,,420,24,,
vsp1_240503_Ag-0.7-Au-0.3_pp0_rep1,vsp,1,240503,Ag,Au,,3,2,,1.30,10.00,1.30,1.16,,,490,25,,
vsp2_240718_In-1.0_pp0_rep1,vsp,2,240718,Au,In,,2,6,,,1.3,10,,,,1110,1,,
vsp2_240718_Au-1.0_pp0_rep1,vsp,2,240718,Au,In,,2,6,,1.30,10.00,,,,,3710,2,,
vsp2_240718_Au-0.889-In-0.111_pp0_rep1,vsp,2,240718,Au,In,,2,6,,2.30,10.00,1.3,2.41,,,3980,3,,
vsp2_240718_Au-0.889-In-0.111_pp0_rep3,vsp,2,240718,Au,In,,2,6,,1.30,10.00,1.3,2.41,,,3980,4,,
vsp2_240718_Au-0.875-In-0.125_pp0_rep1,vsp,2,240718,Au,In,,2,6,,1.30,10.00,1.3,2.78,,,4020,5,,
vsp2_240718_Au-0.833-In-0.167_pp0_rep1,vsp,2,240718,Au,In,,2,6,,1.30,10.00,1.3,3.99,,,4150,6,,
vsp2_240718_Au-0.8-In-0.2_pp0_rep1,vsp,2,240718,Au,In,,2,6,,1.30,10.00,1.3,4.87,,,4250,7,,
vsp2_240718_Au-0.769-In-0.231_pp0_rep1,vsp,2,240718,Au,In,,2,6,,1.30,10.00,1.3,5.82,,,4360,8,,
vsp2_240718_Au-0.75-In-0.25_pp0_rep1,vsp,2,240718,Au,In,,2,6,,1.30,10.00,1.3,6.49,,,4430,9,,
vsp2_240718_Au-0.75-In-0.25_pp0_rep3,vsp,2,240718,Au,In,,2,6,,1.30,10.00,1.3,6.49,,,4430,10,,
vsp2_240718_Au-0.75-In-0.25_pp0_rep5,vsp,2,240718,Au,In,,2,6,,1.30,10.00,1.3,6.49,,,4430,11,,
vsp2_240718_Au-0.714-In-0.286_pp0_rep1,vsp,2,240718,Au,In,,2,6,,1.30,10.00,1.3,7.96,,,4600,12,,
vsp2_240718_Au-0.7-In-0.3_pp0_rep1,vsp,2,240718,Au,In,,2,6,,1.30,10.00,1.3,8.35,,,4640,13,,
vsp2_240718_Au-0.667-In-0.333_pp0_rep1,vsp,2,240718,Au,In,,2,6,,1.30,10.00,1.3,9.59,,,4780,14,,
vsp2_240718_Au-0.625-In-0.375_pp0_rep1,vsp,2,240718,Au,In,,2,6,,1.30,8.56,1.3,10.00,,,4290,15,,
vsp2_240718_Au-0.6-In-0.4_pp0_rep1,vsp,2,240718,Au,In,,2,6,,1.30,7.70,1.3,10.00,,,3970,16,,
vsp2_240718_Au-0.5-In-0.5_pp0_rep1,vsp,2,240718,Au,In,,2,6,,1.30,5.13,1.3,10.00,,,3020,17,,
vsp2_240718_Au-0.5-In-0.5_pp0_rep3,vsp,2,240718,Au,In,,2,6,,1.30,5.13,1.3,10.00,,,3020,18,,
vsp2_240718_Au-0.5-In-0.5_pp0_rep5,vsp,2,240718,Au,In,,2,6,,1.30,5.13,1.3,10.00,,,3020,19,,
vsp2_240718_Au-0.429-In-0.571_pp0_rep1,vsp,2,240718,Au,In,,2,6,,1.30,3.87,1.3,10.00,,,2550,20,,
vsp2_240718_Au-0.4-In-0.6_pp0_rep1,vsp,2,240718,Au,In,,2,6,,1.30,3.42,1.3,10.00,,,2380,21,,
vsp2_240718_Au-0.333-In-0.667_pp0_rep1,vsp,2,240718,Au,In,,2,6,,1.30,2.53,1.3,10.00,,,2050,22,,
vsp2_240718_Au-0.333-In-0.667_pp0_rep3,vsp,2,240718,Au,In,,2,6,,1.30,2.53,1.3,10.00,,,2050,23,,
vsp2_240718_Au-0.333-In-0.667_pp0_rep5,vsp,2,240718,Au,In,,2,6,,1.30,2.53,1.3,10.00,,,2050,24,,
vsp2_240718_Au-0.2-In-0.8_pp0_rep1,vsp,2,240718,Au,In,,2,6,,1.30,1.28,1.3,10.00,,,1590,25,,
vsp3_240718_Au-0.111-Cu-0.889_pp0_rep1,vsp,3,240718,Au,Cu,,2,2,,0.5,0.7,1.3,10,,,370,1,,
vsp3_240718_Au-0.125-Cu-0.875_pp0_rep1,vsp,3,240718,Au,Cu,,2,2,,0.5,0.8,1.3,10,,,380,2,,
vsp3_240718_Au-0.25-Cu-0.75_pp0_rep1,vsp,3,240718,Au,Cu,,2,2,,0.5,1.9,1.3,10,,,540,3,,
vsp3_240718_Au-0.333-Cu-0.667_pp0_rep1,vsp,3,240718,Au,Cu,,2,2,,1.3,1.1,1.3,10,,,670,4,,
vsp3_240718_Au-0.333-Cu-0.667_pp0_rep2,vsp,3,240718,Au,Cu,,2,2,,1.3,1.1,1.3,10,,,670,5,,
vsp3_240718_Au-0.333-Cu-0.667_pp0_rep3,vsp,3,240718,Au,Cu,,2,2,,1.3,1.1,1.3,10,,,670,6,,
vsp3_240718_Au-0.375-Cu-0.625_pp0_rep1,vsp,3,240718,Au,Cu,,2,2,,1.3,1.3,1.3,10,,,760,7,,
vsp3_240718_Au-0.4-Cu-0.6_pp0_rep1,vsp,3,240718,Au,Cu,,2,2,,1.3,1.5,1.3,10,,,810,8,,
vsp3_240718_Au-0.429-Cu-0.571_pp0_rep1,vsp,3,240718,Au,Cu,,2,2,,1.3,1.7,1.3,10,,,880,9,,
vsp3_240718_Au-0.5-Cu-0.5_pp0_rep1,vsp,3,240718,Au,Cu,,2,2,,1.3,2.2,1.3,10,,,1080,10,,
vsp3_240718_Au-0.556-Cu-0.444_pp0_rep1,vsp,3,240718,Au,Cu,,2,2,,1.3,2.8,1.3,10,,,1290,11,,
vsp3_240718_Au-0.571-Cu-0.429_pp0_rep1,vsp,3,240718,Au,Cu,,2,2,,1.3,2.9,1.3,10,,,1350,12,,
vsp3_240718_Au-0.6-Cu-0.4_pp0_rep1,vsp,3,240718,Au,Cu,,2,2,,1.3,3.3,1.3,10,,,1490,13,,
vsp3_240718_Au-0.625-Cu-0.375_pp0_rep1,vsp,3,240718,Au,Cu,,2,2,,1.3,3.7,1.3,10,,,1630,14,,
vsp3_240718_Au-0.667-Cu-0.333_pp0_rep1,vsp,3,240718,Au,Cu,,2,2,,1.3,4.4,1.3,10,,,1910,15,,
vsp3_240718_Au-0.667-Cu-0.333_pp0_rep2,vsp,3,240718,Au,Cu,,2,2,,1.3,4.4,1.3,10,,,1910,16,,
vsp3_240718_Au-0.667-Cu-0.333_pp0_rep3,vsp,3,240718,Au,Cu,,2,2,,1.3,4.4,1.3,10,,,1910,17,,
vsp3_240718_Au-0.75-Cu-0.25_pp0_rep1,vsp,3,240718,Au,Cu,,2,2,,1.3,6.6,1.3,10,,,2720,18,,
vsp3_240718_Au-0.8-Cu-0.2_pp0_rep1,vsp,3,240718,Au,Cu,,2,2,,1.3,8.8,1.3,10,,,3540,19,,
vsp3_240718_Au-0.833-Cu-0.167_pp0_rep1,vsp,3,240718,Au,Cu,,2,2,,1.3,10,1.3,9.1,,,3950,20,,
vsp3_240718_Au-0.875-Cu-0.125_pp0_rep1,vsp,3,240718,Au,Cu,,2,2,,1.3,10,1.3,6.5,,,3880,21,,
vsp3_240718_Au-0.889-Cu-0.111_pp0_rep1,vsp,3,240718,Au,Cu,,2,2,,1.3,10,1.3,5.7,,,3860,22,,
vsp3_240718_Au-1.0_pp0_rep1,vsp,3,240718,Au,Cu,,2,2,,1.3,10,,,,,3710,23,,
vsp3_240718_Cu-1.0_pp0_rep1,vsp,3,240718,Au,Cu,,2,2,,,,1.3,10,,,260,24,,
vsp4_240726_Pd-1.0_pp0_rep1,vsp,4,240726,Pd,Sn,,3,6,,1.30,10.00,,,,,1660,1,,
vsp4_240726_Pd-0.2-Sn-0.8_pp0_rep1,vsp,4,240726,Pd,Sn,,3,6,,1.30,6.73,1.30,10.00,,,6090,2,,
vsp4_240726_Pd-0.25-Sn-0.75_pp0_rep1,vsp,4,240726,Pd,Sn,,3,6,,1.30,8.97,1.30,10.00,,,6470,3,,
vsp4_240726_Pd-0.25-Sn-0.75_pp0_rep2,vsp,4,240726,Pd,Sn,,3,6,,1.30,8.97,1.30,10.00,,,6470,4,,
vsp4_240726_Pd-0.25-Sn-0.75_pp0_rep3,vsp,4,240726,Pd,Sn,,3,6,,1.30,8.97,1.30,10.00,,,6470,5,,
vsp4_240726_Pd-0.333-Sn-0.667_pp0_rep1,vsp,4,240726,Pd,Sn,,3,6,,1.30,10.00,1.30,7.54,,,5410,6,,
vsp4_240726_Pd-0.4-Sn-0.6_pp0_rep1,vsp,4,240726,Pd,Sn,,3,6,,1.30,10.00,1.30,5.57,,,4430,7,,
vsp4_240726_Pd-0.47-Sn-0.53_pp0_rep1,vsp,4,240726,Pd,Sn,,3,6,,1.30,10.00,1.30,4.19,,,3740,8,,
vsp4_240726_Pd-0.5-Sn-0.5_pp0_rep1,vsp,4,240726,Pd,Sn,,3,6,,1.30,10.00,1.30,3.71,,,3510,9,,
vsp4_240726_Pd-0.5-Sn-0.5_pp0_rep2,vsp,4,240726,Pd,Sn,,3,6,,1.30,10.00,1.30,3.71,,,3510,10,,
vsp4_240726_Pd-0.5-Sn-0.5_pp0_rep3,vsp,4,240726,Pd,Sn,,3,6,,1.30,10.00,1.30,3.71,,,3510,11,,
vsp4_240726_Pd-0.54-Sn-0.46_pp0_rep1,vsp,4,240726,Pd,Sn,,3,6,,1.30,10.00,1.30,3.16,,,3230,12,,
vsp4_240726_Pd-0.58-Sn-0.42_pp0_rep1,vsp,4,240726,Pd,Sn,,3,6,,1.30,10.00,1.30,2.69,,,3000,13,,
vsp4_240726_Pd-0.62-Sn-0.38_pp0_rep1,vsp,4,240726,Pd,Sn,,3,6,,1.30,10.00,1.30,2.28,,,2790,14,,
vsp4_240726_Pd-0.667-Sn-0.333_pp0_rep1,vsp,4,240726,Pd,Sn,,3,6,,1.30,10.00,1.30,1.83,,,2570,15,,
vsp4_240726_Pd-0.7-Sn-0.3_pp0_rep1,vsp,4,240726,Pd,Sn,,3,6,,1.30,10.00,1.30,1.59,,,2450,16,,
vsp4_240726_Pd-0.75-Sn-0.25_pp0_rep1,vsp,4,240726,Pd,Sn,,3,6,,1.30,10.00,1.30,1.24,,,2270,17,,
vsp4_240726_Pd-0.75-Sn-0.25_pp0_rep2,vsp,4,240726,Pd,Sn,,3,6,,1.30,10.00,1.30,1.24,,,2270,18,,
vsp4_240726_Pd-0.75-Sn-0.25_pp0_rep3,vsp,4,240726,Pd,Sn,,3,6,,1.30,10.00,1.30,1.24,,,2270,19,,
vsp4_240726_Pd-0.833-Sn-0.167_pp0_rep1,vsp,4,240726,Pd,Sn,,3,6,,1.30,10.00,1.30,0.76,,,2040,20,,
vsp4_240726_Pd-0.867-Sn-0.133_pp0_rep1,vsp,4,240726,Pd,Sn,,3,6,,1.30,10.00,1.30,0.56,,,1930,21,,
vsp4_240726_Pd-0.889-Sn-0.111_pp0_rep1,vsp,4,240726,Pd,Sn,,3,6,,1.30,10.00,1.30,0.46,,,1890,22,,
vsp4_240726_Pd-0.889-Sn-0.111_pp0_rep2,vsp,4,240726,Pd,Sn,,3,6,,1.30,10.00,1.30,0.46,,,1890,23,,
vsp4_240726_Pd-0.889-Sn-0.111_pp0_rep3,vsp,4,240726,Pd,Sn,,3,6,,1.30,10.00,1.30,0.46,,,1890,24,,
vsp4_240726_Sn-1.0_pp0_rep1,vsp,4,240726,Pd,Sn,,3,6,,,,1.30,10.00,,,4980,25,,
vsp5_241011_Ag-1.0_pp0_rep1,vsp,5,241011,Ag,Pd,,3,3,,1.30,10.00,0.00,0.00,,,690,1,,
vsp5_241011_Ag-0.889-Pd-0.111_pp0_rep1,vsp,5,241011,Ag,Pd,,3,3,,1.30,10.00,0.50,1.32,,,770,2,,
vsp5_241011_Ag-0.833-Pd-0.167_pp0_rep1,vsp,5,241011,Ag,Pd,,3,3,,1.30,10.00,0.50,2.19,,,830,3,,
vsp5_241011_Ag-0.778-Pd-0.222_pp0_rep1,vsp,5,241011,Ag,Pd,,3,3,,1.30,10.00,1.30,1.16,,,880,4,,
vsp5_241011_Ag-0.75-Pd-0.25_pp0_rep1,vsp,5,241011,Ag,Pd,,3,3,,1.30,10.00,1.30,1.37,,,920,5,,
vsp5_241011_Ag-0.75-Pd-0.25_pp0_rep2,vsp,5,241011,Ag,Pd,,3,3,,1.30,10.00,1.30,1.37,,,920,6,,
vsp5_241011_Ag-0.75-Pd-0.25_pp0_rep3,vsp,5,241011,Ag,Pd,,3,3,,1.30,10.00,1.30,1.37,,,920,7,,
vsp5_241011_Ag-0.667-Pd-0.333_pp0_rep1,vsp,5,241011,Ag,Pd,,3,3,,1.30,10.00,1.30,2.02,,,1030,8,,
vsp5_241011_Ag-0.625-Pd-0.375_pp0_rep1,vsp,5,241011,Ag,Pd,,3,3,,1.30,10.00,1.30,2.46,,,1100,9,,
vsp5_241011_Ag-0.583-Pd-0.417_pp0_rep1,vsp,5,241011,Ag,Pd,,3,3,,1.30,10.00,1.30,2.97,,,1180,10,,
vsp5_241011_Ag-0.5-Pd-0.5_pp0_rep1,vsp,5,241011,Ag,Pd,,3,3,,1.30,10.00,1.30,4.11,,,1370,11,,
vsp5_241011_Ag-0.5-Pd-0.5_pp0_rep2,vsp,5,241011,Ag,Pd,,3,3,,1.30,10.00,1.30,4.11,,,1370,12,,
vsp5_241011_Ag-0.5-Pd-0.5_pp0_rep3,vsp,5,241011,Ag,Pd,,3,3,,1.30,10.00,1.30,4.11,,,1370,13,,
vsp5_241011_Ag-0.429-Pd-0.571_pp0_rep1,vsp,5,241011,Ag,Pd,,3,3,,1.30,10.00,1.30,5.44,,,1590,14,,
vsp5_241011_Ag-0.4-Pd-0.6_pp0_rep1,vsp,5,241011,Ag,Pd,,3,3,,1.30,10.00,1.30,6.16,,,1710,15,,
vsp5_241011_Ag-0.333-Pd-0.667_pp0_rep1,vsp,5,241011,Ag,Pd,,3,3,,1.30,10.00,1.30,8.34,,,2070,16,,
vsp5_241011_Ag-0.3-Pd-0.7_pp0_rep1,vsp,5,241011,Ag,Pd,,3,3,,1.30,10.00,1.30,9.58,,,2280,17,,
vsp5_241011_Ag-0.25-Pd-0.75_pp0_rep1,vsp,5,241011,Ag,Pd,,3,3,,1.30,8.12,1.30,10.00,,,2220,18,,
vsp5_241011_Ag-0.25-Pd-0.75_pp0_rep2,vsp,5,241011,Ag,Pd,,3,3,,1.30,8.12,1.30,10.00,,,2220,19,,
vsp5_241011_Ag-0.25-Pd-0.75_pp0_rep3,vsp,5,241011,Ag,Pd,,3,3,,1.30,8.12,1.30,10.00,,,2220,20,,
vsp5_241011_Ag-0.2-Pd-0.8_pp0_rep1,vsp,5,241011,Ag,Pd,,3,3,,1.30,6.09,1.30,10.00,,,2080,21,,
vsp5_241011_Ag-0.167-Pd-0.833_pp0_rep1,vsp,5,241011,Ag,Pd,,3,3,,1.30,4.99,1.30,10.00,,,2000,22,,
vsp5_241011_Ag-0.111-Pd-0.889_pp0_rep1,vsp,5,241011,Ag,Pd,,3,3,,1.30,3.01,1.30,10.00,,,1870,23,,
vsp5_241011_Pd-1.0_pp0_rep1,vsp,5,241011,Ag,Pd,,3,3,,0.00,0.00,1.30,10.00,,,2300,24,,
vsp6_240718_In-0.111-Zn-0.889_pp0_rep1,vsp,6,240718,In,Zn,,6,6,,1.3,2.52,1.3,10,,,1560,1,,
vsp6_240718_In-0.167-Zn-0.833_pp0_rep1,vsp,6,240718,In,Zn,,6,6,,1.3,4.04,1.3,10,,,1720,2,,
vsp6_240718_In-0.167-Zn-0.833_pp0_rep2,vsp,6,240718,In,Zn,,6,6,,1.3,4.04,1.3,10,,,1720,3,,
vsp6_240718_In-0.167-Zn-0.833_pp0_rep3,vsp,6,240718,In,Zn,,6,6,,1.3,4.04,1.3,10,,,1720,4,,
vsp6_240718_In-0.25-Zn-0.75_pp0_rep1,vsp,6,240718,In,Zn,,6,6,,1.3,6.72,1.3,10,,,2020,5,,
vsp6_240718_In-0.25-Zn-0.75_pp0_rep2,vsp,6,240718,In,Zn,,6,6,,1.3,6.72,1.3,10,,,2020,6,,
vsp6_240718_In-0.25-Zn-0.75_pp0_rep3,vsp,6,240718,In,Zn,,6,6,,1.3,6.72,1.3,10,,,2020,7,,
vsp6_240718_In-0.31-Zn-0.69_pp0_rep1,vsp,6,240718,In,Zn,,6,6,,1.3,9.06,1.3,10,,,2280,8,,
vsp6_240718_In-0.37-Zn-0.63_pp0_rep2,vsp,6,240718,In,Zn,,6,6,,1.3,10,1.3,8.44,,,2190,9,,
vsp6_240718_In-0.44-Zn-0.56_pp0_rep3,vsp,6,240718,In,Zn,,6,6,,1.3,10,1.3,6.31,,,1920,10,,
vsp6_240718_In-0.5-Zn-0.5_pp0_rep1,vsp,6,240718,In,Zn,,6,6,,1.3,10,1.3,4.96,,,1740,11,,
vsp6_240718_In-0.5-Zn-0.5_pp0_rep2,vsp,6,240718,In,Zn,,6,6,,1.3,10,1.3,4.96,,,1740,12,,
vsp6_240718_In-0.5-Zn-0.5_pp0_rep3,vsp,6,240718,In,Zn,,6,6,,1.3,10,1.3,4.96,,,1740,13,,
vsp6_240718_In-0.54-Zn-0.46_pp0_rep1,vsp,6,240718,In,Zn,,6,6,,1.3,10,1.3,4.22,,,1650,14,,
vsp6_240718_In-0.571-Zn-0.429_pp0_rep1,vsp,6,240718,In,Zn,,6,6,,1.3,10,1.3,3.73,,,1590,15,,
vsp6_240718_In-0.571-Zn-0.429_pp0_rep2,vsp,6,240718,In,Zn,,6,6,,1.3,10,1.3,3.73,,,1590,16,,
vsp6_240718_In-0.571-Zn-0.429_pp0_rep3,vsp,6,240718,In,Zn,,6,6,,1.3,10,1.3,3.73,,,1590,17,,
vsp6_240718_In-0.62-Zn-0.38_pp0_rep1,vsp,6,240718,In,Zn,,6,6,,1.3,10,1.3,3.04,,,1500,18,,
vsp6_240718_In-0.667-Zn-0.333_pp0_rep1,vsp,6,240718,In,Zn,,6,6,,1.3,10,1.3,2.48,,,1430,19,,
vsp6_240718_In-0.667-Zn-0.333_pp0_rep2,vsp,6,240718,In,Zn,,6,6,,1.3,10,1.3,2.48,,,1430,20,,
vsp6_240718_In-0.667-Zn-0.333_pp0_rep3,vsp,6,240718,In,Zn,,6,6,,1.3,10,1.3,2.48,,,1430,21,,
vsp6_240718_In-0.72-Zn-0.28_pp0_rep1,vsp,6,240718,In,Zn,,6,6,,1.3,10,1.3,1.93,,,1360,22,,
vsp6_240718_In-0.8-Zn-0.2_pp0_rep1,vsp,6,240718,In,Zn,,6,6,,1.3,10,1.3,1.24,,,1270,23,,
vsp6_240718_In-1.0_pp0_rep1,vsp,6,240718,In,Zn,,6,6,,1.3,10,,,,,1110,24,,
