,voltage,sample id,source,batch number,batch date,composition,post processing id,rep,reaction,xrf comp,bulk_id,computational_comp_nearest_xrf,sid,Unnamed: 0,total reps,current density,fe_h2,fe_co,fe_ch4,fe_c2h4,fe_gas_total,fe_liquid,rwp,q_score,matched,H2_pr,CO_pr,CH4_pr,Total_Liquid_pr,C2H4_pr,C_mean_energy,C_wulff_energy,C_boltz_energy,CO_mean_energy,CO_wulff_energy,CO_boltz_energy,CHO_mean_energy,CHO_wulff_energy,CHO_boltz_energy,COCOH_mean_energy,COCOH_wulff_energy,COCOH_boltz_energy,H_mean_energy,H_wulff_energy,H_boltz_energy,OH_mean_energy,OH_wulff_energy,OH_boltz_energy,elements,loco_cv,loo_cv
0,3.3,uoft7_240716_Ag-0.1-Au-0.5-Pd-0.4_pp0_rep1,uoft,7.0,240716.0,Ag-0.1-Au-0.5-Pd-0.4,pp0,1,CO2R,Ag-0.238-Au-0.367-Pd-0.394,mp-1229031,Ag-0.25-Au-0.375-Pd-0.375,,1027.7900789417185,,129.83464902864068,74.54654057993574,13.529274234771067,0.05948483251365298,0.0038520413218904887,88.25284055580754,11.503242167702709,32.0,100.0,True,4.920509965071927e-07,8.93011643122437e-08,9.8158716983053e-11,7.592816149010039e-08,2.542573748262233e-11,-1.441553013049641,-1.3011442700000089,-1.6168566633254426,-1.7893735343971682,-1.673854829999982,-1.8825159312901711,-1.0984305495744677,-1.055497769999988,-2.2711688306893727,-1.3705214020567382,-0.96270844,-2.904106820000038,-0.4581712429077994,-0.4381656699999894,-0.49406174164879724,0.3436518581560297,0.4458009499999775,0.1488127312138277,AgAuPd,0,0
1,3.3,vsp23_241025_Ag-0.2-Ga-0.8_pp0_rep1,vsp,23.0,241025.0,Ag-0.2-Ga-0.8,pp0,1,CO2R,Ag-0.236-Ga-0.764,mp-1184226,Ag-0.25-Ga-0.75,,2070.4464671739042,,88.83832065239378,40.006692306513095,30.804242736664232,0.03853953686745635,0.0,71.26649206447266,28.731923643644024,33.8,74.08,True,1.7759995176314546e-07,1.3674792162813073e-07,4.277171826774532e-11,1.2754836651024053e-07,0.0,0.7120090122500009,0.20455989311123451,0.20455989311123451,-0.104400520000004,0.1758878527443866,0.1758878527443866,0.03058760324999879,0.19944770569485618,0.19944770569485618,0.10614155225000377,0.15123627770433873,0.15123627770433873,0.31829680425000256,0.15160651074928636,0.15160651074928636,-0.10556885550000208,0.18522160410457206,0.18522160410457206,AgGa,1,1
2,3.3,vsp23_241025_Ag-0.25-Ga-0.75_pp0_rep1,vsp,23.0,241025.0,Ag-0.25-Ga-0.75,pp0,1,CO2R,Ag-0.327-Ga-0.673,dcgat-agm003291171,Ag-0.333-Ga-0.667,,2080.5,,107.6211607320408,35.54878453756167,41.439472651960294,0.03269809704827642,0.0,77.03811974251805,22.96099632034397,32.95,76.555,True,1.9596357560646965e-07,2.2843614311325332e-07,4.506227214559994e-11,1.2657307407141576e-07,0.0,0.8120143784848436,0.24073966522475487,0.24073966522475487,-0.06587569242424421,0.22094944206223996,0.22094944206223996,0.09139453727273103,0.20425876020772193,0.20425876020772193,0.15312756151514817,0.1817715626341421,0.1817715626341421,0.3955672284848426,0.19350763428734633,0.19350763428734633,-0.013602567575751633,0.19788623960999413,0.19788623960999413,AgGa,1,2
3,3.3,vsp11_240802_Ag-0.167-Zn-0.833_pp0_rep1,vsp,11.0,240802.0,Ag-0.167-Zn-0.833,pp0,1,CO2R,Ag-0.307-Zn-0.693,oqmd-758527,Ag-0.333-Zn-0.667,,1597.5468600122392,,77.34300061196092,18.434143011010743,59.9584447188658,0.020784419361749323,0.0,78.50804668478744,21.373156118243365,39.4,97.04,True,6.977894950094579e-08,2.269613121528883e-07,1.9668868633921738e-11,8.090402578302254e-08,0.0,0.7771456890123453,0.9961646859590515,-0.1118457120900805,-0.12360191098765552,0.16778406023182918,-0.49941656834820564,-0.0798685372839539,0.2225083291591186,-0.6787686206265588,-0.13277594111110586,0.16062651148426144,-0.6521134316904162,0.17575441814815093,0.3558806997293946,-0.25095923662555414,-0.24630173765432245,-0.16985387753244624,-0.7196508215714391,AgZn,2,3
4,3.3,vsp11_240802_Ag-0.375-Zn-0.625_pp0_rep1,vsp,11.0,240802.0,Ag-0.375-Zn-0.625,pp0,1,CO2R,Ag-0.413-Zn-0.587,dcgat-agm003290582,Ag-0.4-Zn-0.6,,1626.4417110959605,,88.95722260098586,17.41817079303859,64.96817808796555,0.022921786116048257,0.0,82.43281090425921,17.51052967076624,34.7,100.0,True,7.745128065316254e-08,2.8888616688881656e-07,2.5480885889799448e-11,7.786196174273786e-08,0.0,0.8997726696296274,0.6961815800000011,0.09776770056363232,-0.1977695844444485,-0.1867979200000178,-0.6683370131114706,-0.06564953000000304,-0.287745440000009,-0.568326085956838,-0.15840085814814342,-0.2698231899999967,-0.6222521877709863,0.1713727170370397,0.1727384900000004,-0.33212897239971595,-0.219562165185188,-0.4528270300000088,-0.7856984447188478,AgZn,2,4
5,3.3,vsp11_240802_Ag-0.429-Zn-0.571_pp0_rep1,vsp,11.0,240802.0,Ag-0.429-Zn-0.571,pp0,1,CO2R,Ag-0.478-Zn-0.522,dcgat-agm003193172,Ag-0.462-Zn-0.538,,1640.6193094328019,,69.03452835990478,11.91685983981702,72.87421184006348,0.014311138836394304,0.0,84.81570867392759,15.171120461847496,31.4,100.0,True,4.0201413070227164e-08,2.4584045895723284e-07,1.206962261033215e-11,5.117963025688078e-08,0.0,0.8666751521428603,0.7863685300000043,0.6607230167596341,-0.16203567857142884,-0.0705659599999961,-0.20581150826511163,0.11025775071428155,-0.1812402399999939,-0.17307888264007562,-0.1957287807142762,-0.114912299999986,-0.31243712018281805,0.19350702714286225,0.3470677000000108,0.029203873472902334,-0.30049703357143287,-0.2560386100000045,-0.3723182501811929,AgZn,2,5
6,3.3,vsp13_240823_Ag-0.636-Au-0.182-Zn-0.182_pp0_rep1,vsp,13.0,240823.0,Ag-0.636-Au-0.182-Zn-0.182,pp0,1,CO2R,Ag-0.552-Au-0.237-Zn-0.211,dcgat-agm003166480,Ag-0.5-Au-0.25-Zn-0.25,,1846.5102215938427,,125.51107969213425,72.03232838029649,12.28119378002019,0.011734519088146473,0.0,84.33272528602399,15.666871920589774,35.7,81.87,True,4.5907455212684016e-07,7.827018313749124e-08,1.869653257067365e-11,9.984769855281644e-08,0.0,1.4613997496153748,0.18634187826479315,1.100627310058903,-0.3048728796153898,0.09575936121379457,-0.4490278463404398,0.06702160692307703,0.6325171527680741,-0.2773627291251217,-0.16180042923077195,0.13089188481119465,-0.2557002327326373,0.1494333526922964,0.07955137738109029,0.08770271800567786,-0.18770535384613835,0.19504523484235972,-0.3671694366267512,AgAuZn,3,6
7,3.3,uoft4_240405_Ag-0.5-Pd-0.5_pp0_rep1,uoft,4.0,240405.0,Ag-0.5-Pd-0.5,pp0,1,CO2R,Ag-0.515-Pd-0.485,dcgat-agm001417020,Ag-0.5-Pd-0.5,,163.726033878168,,117.26033878167998,35.26029672931266,50.86719935536545,0.034009446966933685,0.002244292200690586,86.25202467955154,13.43235287127796,30.5,72.98,True,2.1017645453252278e-07,3.032046977534932e-07,5.068012500714221e-11,8.006637959368027e-08,1.3377578223384802e-11,-0.6603889161654183,-0.31727480194611585,-1.4562484455608116,-1.6282461261654149,-1.5233214228627097,-1.8040323028536482,-0.925367216315787,-0.7083634745739957,-1.096197346328885,-0.9385334952631569,-0.7332584635528945,-1.4235581802842292,-0.39991368390978005,-0.3869090473798795,-0.5069940280235377,0.4858560501503795,0.7491351595966049,0.174854037281256,AgPd,4,7
8,3.3,vsp11_240802_Ag-0.5-Zn-0.5_pp0_rep1,vsp,11.0,240802.0,Ag-0.5-Zn-0.5,pp0,1,CO2R,Ag-0.575-Zn-0.425,dcgat-agm003292345,Ag-0.571-Zn-0.429,,1653.301020051456,,82.52550128639683,19.071090778069717,85.3139539914945,0.032281836883212726,0.0,104.51435850802147,0.0,26.9,100.0,True,7.756731724041166e-08,3.469950728723831e-07,3.282475438561185e-11,0.0,0.0,0.983757240500001,1.2472752679879435,0.6054666149865947,-0.19274769800000296,-0.15357308195032615,-0.23279559214765175,-0.15000610350000443,0.04777282621019531,-0.31831195101576804,-0.188789120499996,0.04348651411670446,-0.4795818675305901,0.13426380400000215,0.2518917480568181,-0.23298177058976197,-0.23720278400000225,-0.04857094455143101,-0.3894747211831298,AgZn,2,8
9,3.3,vsp11_240802_Ag-0.6-Zn-0.4_pp0_rep1,vsp,11.0,240802.0,Ag-0.6-Zn-0.4,pp0,1,CO2R,Ag-0.746-Zn-0.254,mp-864794,Ag-0.75-Zn-0.25,,1658.0245858822823,,101.2292941141146,7.768273540316137,78.92997649719906,0.008251865712509309,0.0,86.71656685341858,13.27465960626681,38.0,96.08,True,4.0659690818394276e-08,4.1312505591153874e-07,1.0797711576589328e-11,6.948050329446418e-08,0.0,1.8872577172727254,2.1062620799999934,1.4568517556137466,-0.05436216545454768,0.2197595899999953,-0.15985350763087858,0.28766819727272136,0.579642800000002,0.041612473575482985,0.19064204818182098,0.6742368900000031,-0.1089239905453978,0.37346365181818314,0.3238882800000056,0.32253527693801004,0.15607330818181386,0.2630019199999935,-0.10657959415835985,AgZn,2,9
10,3.3,vsp11_240802_Ag-0.667-Zn-0.333_pp0_rep1,vsp,11.0,240802.0,Ag-0.667-Zn-0.333,pp0,1,CO2R,Ag-0.829-Zn-0.171,dcgat-agm003194924,Ag-0.833-Zn-0.167,,1667.0,,76.02816124780468,15.248313094842047,81.89043615952495,0.0190486316587533,0.0,97.55547074775745,0.0,34.65,100.0,True,5.667703906178235e-08,3.0438169915134875e-07,1.7700647177848452e-11,0.0,0.0,1.8512876404347802,1.756918723737469,1.5257143112581306,-0.16536904304347982,0.005049573459933395,-0.25053361915939726,0.12813227347825834,0.31716370095639196,-0.013007413568587747,0.0378887478260922,0.4167820978127696,-0.11417480634904975,0.27865142130434856,0.23367377735782305,0.21926833549825478,0.0795522534782592,0.18219857145702129,-0.08652093284610751,AgZn,2,10
11,3.3,vsp23_241025_Ag-0.75-Ga-0.25_pp0_rep2,vsp,23.0,241025.0,Ag-0.75-Ga-0.25,pp0,2,CO2R,Ag-0.855-Ga-0.145,dcgat-agm003299722,Ag-0.875-Ga-0.125,,2144.678395590681,,116.08022046595536,48.317535859225735,47.78859480994093,0.05089462039327345,0.0017716007195178738,96.30347574648113,0.0,36.4,92.77,True,2.8526382824529017e-07,2.8214099207511187e-07,7.511969511843303e-11,0.0,1.0459424190095208e-11,1.6895550018181689,0.21612835070298317,0.21612835070298317,-0.133946784545463,0.07317033874469174,0.07317033874469174,0.16626792181817895,0.19892790987671802,0.19892790987671802,0.14309809545454497,0.1994559975039896,0.1994559975039896,0.328805205454538,0.06970860046115716,0.06970860046115716,0.18710307181818694,0.2794166314609981,0.2794166314609981,AgGa,1,11
12,3.3,uoft4_240405_Ag-0.889-Hg-0.111_pp0_rep1,uoft,4.0,240405.0,Ag-0.889-Hg-0.111,pp0,1,CO2R,Ag-0.984-Hg-0.016,mp-2646971,Ag-0.889-Hg-0.111,,288.84584920913613,,57.70753954319216,53.951456486153425,34.12951516411416,0.22928482240631265,0.01595047864153689,88.66538951871269,11.228106737864822,37.9,100.0,True,1.555562241531071e-07,9.840435934233516e-08,1.6527209621437886e-10,3.2373581776769544e-08,4.5989420722108896e-11,2.2611884483333404,2.2627905015850116,1.9997731633630196,-0.1406098133333368,-0.07540925008942367,-0.21203375387047668,0.3251147366666676,0.39639562467005324,0.26498591756259343,0.2838538016666732,0.37937104190937176,0.1962020385438604,0.34027966666667453,0.32930463577064684,0.2746415250796489,0.5250122583333313,0.5599386648441849,0.39319385696725484,AgHg,5,12
13,3.3,vsp10_240726_Au-0.294-Zn-0.706_pp0_rep1,vsp,10.0,240726.0,Au-0.294-Zn-0.706,pp0,1,CO2R,Au-0.226-Zn-0.774,oqmd-311946,Au-0.25-Zn-0.75,,1492.6605069800326,,155.35023266775434,65.6022582164778,28.571006591112138,0.0053948858148521635,0.0,94.23349926635873,6.5498149286645875,38.5,79.375,True,5.258831766834626e-07,2.2903192840706578e-07,1.0811669320883171e-11,5.250486149438262e-08,0.0,0.9175981800000017,1.2002699270730517,0.027385602658374832,-0.5198611090000057,-0.11987632662827635,-0.9621692746898338,-0.3958768240000012,-0.024184045991673734,-1.0756269220428445,-0.42463338399999484,-0.09149940208156164,-1.0472763754994796,-0.17488592399999592,0.22166501249802414,-0.8760451593802715,-0.5022221340000016,-0.18080238789739184,-1.1082070817405258,AuZn,6,13
14,3.3,vsp3_240718_Au-0.333-Cu-0.667_pp0_rep3,vsp,3.0,240718.0,Au-0.333-Cu-0.667,pp0,3,CO2R,Au-0.448-Cu-0.552,dcgat-agm003187403,Au-0.429-Cu-0.571,,2294.909946238526,,170.49731192631538,35.94256577245417,54.3599159242647,0.08420510508683504,0.8618936077927116,92.02204179799764,7.857103544153321,25.9,93.71000000000001,True,3.1436103029316466e-07,4.7544294096272187e-07,1.841187671368782e-10,6.871983432949737e-08,7.538297746023972e-09,1.0829100615217349,1.219258667159847,0.6549377085954602,-0.7255759528260854,-0.4786379480126263,-0.9196448282291348,-0.21753226652173682,0.022324972024665646,-0.4751937631926011,-0.2215922193478239,0.18841156380451882,-0.5852710283730282,0.05653264499999441,0.10176065110936755,-0.04484739995475179,0.11847083043478357,0.38930942957639864,-0.30162958398416845,AuCu,7,14
15,3.3,vsp3_240718_Au-0.429-Cu-0.571_pp0_rep1,vsp,3.0,240718.0,Au-0.429-Cu-0.571,pp0,1,CO2R,Au-0.57-Cu-0.43,dcgat-agm003194949,Au-0.571-Cu-0.429,,2307.986915629215,,175.32710926961636,51.83488210448872,39.48222916127795,0.03965970865573715,0.3766484130779301,92.89604429016798,6.9403282197694605,26.9,75.58,True,4.6613350228849254e-07,3.550502867934489e-07,8.916157491288634e-11,6.241201617072152e-08,3.3870713463861633e-09,1.2112076814655093,1.2577498192393362,0.728329825489863,-0.7020919731465571,-0.5205321453175495,-0.8960571703215482,-0.230341869267239,-0.00036663414623723,-0.4015723457923599,-0.16963428637931355,-0.12966790296118216,-0.5107866110953911,0.0753969624137856,0.13509624687291888,-0.22195315209615749,0.2332353854310406,0.32073902042824376,-0.332645212971556,AuCu,7,15
16,3.3,vsp26_241004_Au-0.778-Ga-0.222_pp0_rep2,vsp,26.0,241004.0,Au-0.778-Ga-0.222,pp0,2,CO2R,Au-0.589-Ga-0.411,dcgat-agm003299733,Au-0.6-Ga-0.4,,2206.021601190595,,124.45997023512369,61.96827881625157,17.405061248622808,0.013642599980942612,0.0,79.46965645210594,20.530226522152233,34.5,70.47,True,3.9158259124212574e-07,1.0998399688771443e-07,2.155217457167886e-11,1.2973217029587464e-07,0.0,1.2963021624999875,0.19713983504317723,0.19713983504317723,-0.3538467375000032,0.15823609091252952,0.15823609091252952,-0.1755036725000032,0.12908996869632375,0.12908996869632375,0.033170958750005766,0.14351863006769305,0.14351863006769305,0.15198232750000248,0.06843365188285412,0.06843365188285412,0.18534356000001037,0.2802588543731391,0.2802588543731391,AuGa,8,16
17,3.3,uoft4_240405_Au-0.5-Pd-0.5_pp0_rep1,uoft,4.0,240405.0,Au-0.5-Pd-0.5,pp0,1,CO2R,Au-0.642-Pd-0.358,oqmd-1340599,Au-0.625-Pd-0.375,,415.26035455710064,,68.49113607248428,60.93166968995843,25.15781010439764,0.04156647760605956,0.0,87.58981277549707,12.388699820200078,26.9,70.12,True,2.0400979471323558e-07,8.42327101973139e-08,3.4792943499306454e-11,4.147951500333569e-08,0.0,-0.3119628939215769,0.059331163446478666,-1.279628696788054,-1.4362234337255102,-1.3703389792143255,-1.7470945473130846,-0.8399882017647051,-0.6413870923104474,-1.0953303896941478,-0.7236088809804001,-0.6088149072188112,-1.7239922476549834,-0.3098213341176686,-0.3653737641519341,-0.4822460948896728,0.7250369103921779,0.9921160569919273,0.4611562338732235,AuPd,9,17
18,3.3,vsp3_240718_Au-0.556-Cu-0.444_pp0_rep1,vsp,3.0,240718.0,Au-0.556-Cu-0.444,pp0,1,CO2R,Au-0.653-Cu-0.347,mp-1184018,Au-0.667-Cu-0.333,,2351.3354970236323,,133.22514881838617,62.32641428332728,37.24537612578367,0.03515025857670227,0.027162432455770297,99.86771316383148,3.0072302918928537,29.75,96.74166666666667,True,4.228589343736267e-07,2.526944673457155e-07,5.961999039898989e-11,2.0402813337940918e-08,1.842858661983888e-10,1.422922332586207,1.5148747887625293,1.0209226625953132,-0.6356632003448295,-0.42049287791743445,-0.8379967715159269,-0.2177439468965572,0.06458566973036226,-0.4183285609304418,-0.039078156724132444,0.3594948873087295,-0.3021112856030476,0.12469958017241305,0.22352150941322269,0.0752384456681325,0.5428418149999998,0.781223073250216,0.24638591447832617,AuCu,7,18
19,3.3,uoft7_240716_Au-0.667-Pd-0.333_pp0_rep1,uoft,8.0,240870.5,Au-0.667-Pd-0.333,pp0,1,CO2R,Au-0.659-Pd-0.341,dcgat-agm003290367,Au-0.667-Pd-0.333,,1220.844795295882,,96.89590591764181,87.48578848243194,2.3989415109223096,0.05004232463190424,0.0,89.98683103943472,9.825726142581399,32.5,87.155,True,4.342693762564187e-07,1.1908069318402094e-08,6.210108373396617e-11,4.877377271466298e-08,0.0,-0.4155619276470667,0.1102693926081956,-1.2056716830581555,-1.2492594941176511,-1.2525956388947221,-1.6310989775929443,-0.7699137817647008,-0.5940370377323378,-1.1814810209176274,-0.8096967688235331,-0.4834031132176171,-1.6807160588885612,-0.23737609529412146,-0.2655297554172088,-0.27062121058130384,0.7759979523529523,1.0279255640633778,0.572740092621351,AuPd,9,19
